,,Final_Loss,Final_Loss,Final_Sharpness,Final_Sharpness,Final_Hessian_Max,Final_Hessian_Max,Final_Local_Entropy,Final_Local_Entropy
,,mean,std,mean,std,mean,std,mean,std
Architecture,Optimizer,,,,,,,,
deep,adam,0.255,0.0015,0.0017,0.0011,3.9243,0.553,-407726.013,371686.6246
deep,momentum,0.2576,0.0001,0.0011,0.0003,2.9276,0.444,-332792.3137,82222.5053
deep,sgd,0.2582,0.0005,0.0008,0.0004,3.0608,0.1894,-194583.1557,108997.6882
residual,adam,0.2566,0.0005,0.0008,0.0003,2.8785,0.2696,-448974.1058,275830.1233
residual,momentum,0.2575,0.0,0.0009,0.0005,3.5295,0.3061,-235479.294,162744.1314
residual,sgd,0.2586,0.0007,0.0009,0.0002,3.6059,0.4613,-120419.524,47355.9303
shallow,adam,0.2569,0.0004,0.0021,0.0006,5.9319,1.9805,-172907.329,77928.1687
shallow,momentum,0.2576,0.0001,0.0023,0.0019,9.0534,0.6406,-115588.0521,28550.6856
shallow,sgd,0.262,0.0023,0.0022,0.0006,8.5656,2.3219,-42977.1707,15629.5126
wide,adam,0.2558,0.0005,0.0058,0.0018,23.3479,0.5199,-34807.2478,23604.4838
wide,momentum,0.2574,0.0001,0.0059,0.0019,24.5964,0.5204,-46853.416,12177.4431
wide,sgd,0.2588,0.0004,0.0061,0.0012,27.3997,1.9311,-28976.4113,5367.4844
